Order_Calc_Split,Year,Date,Work_Site,Location,Area Cleared (m2) orig,Area Cleared (m2),Biomass Removed (m3) orig,Biomass Removed (m3),Data_Change_Assumptions,Invasive_Species_Cleared_orig,Invasive_Species_Cleared,Crew_Hours,Notes
52,2025,18-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,448,224.0,0.3,0.2,"estimate 1/2 of biomass, area, and work hours","Creeping buttercup, reed canary grass",Reed canary grass,18,"Crew started off removing creeping buttercup from outflow, wet land area, did not complete that area. Then crew moved onto removing reed canary grass from west end of covenant in deer Exclosure area and woodland area leading up to path.  "
128,2023,11-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,20,10.0,1.2,0.6,"estimate 1/2 of biomass, area, and work hours","English ivy, Himalayan blackberry",English Ivy,30,
129,2023,11-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,20,10.0,1.2,0.6,"estimate 1/2 of biomass, area, and work hours","English ivy, Himalayan blackberry",Himalayan blackberry,30,
130,2023,15-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs10,30,15.0,1.3,0.7,"estimate 1/2 of biomass, area, and work hours","English ivy, Himalayan blackberry",English Ivy,37.5,Noticed that camas and sea blush in meadow had been heavily browsed. 
131,2023,15-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs10,30,15.0,1.3,0.7,"estimate 1/2 of biomass, area, and work hours","English ivy, Himalayan blackberry",Himalayan blackberry,37.5,Noticed that camas and sea blush in meadow had been heavily browsed. 
132,2023,16-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs11,60,20.0,1.8,0.6,"estimate 1/3 of biomass, area, and work hours","English ivy, Himalayan blackberry, European privet",English Ivy,37.5,
133,2023,16-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs11,60,20.0,1.8,0.6,"estimate 1/3 of biomass, area, and work hours","English ivy, Himalayan blackberry, European privet",Himalayan blackberry,37.5,
134,2023,16-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs11,60,20.0,1.8,0.6,"estimate 1/3 of biomass, area, and work hours","English ivy, Himalayan blackberry, European privet",European privet,37.5,
135,2023,17-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs12,40,13.3,1.7,0.6,"estimate 1/3 of biomass, area, and work hours","English Ivy, Himalayan blackberry, orchard grass",English Ivy,37.5,
136,2023,17-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs12,40,13.3,1.7,0.6,"estimate 1/3 of biomass, area, and work hours","English Ivy, Himalayan blackberry, orchard grass",Himalayan blackberry,37.5,
137,2023,17-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs12,40,13.3,1.7,0.6,"estimate 1/3 of biomass, area, and work hours","English Ivy, Himalayan blackberry, orchard grass",Orchard grass,37.5,
138,2023,19-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,100,50.0,15,7.5,"estimate 1/2 of biomass, area, and work hours","English ivy, Himalayan blackberry",English Ivy,37.5,Volunteer event 1-5pm with Tiffany Joseph. Approximately 30 volunteers. 
139,2023,19-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,100,50.0,15,7.5,"estimate 1/2 of biomass, area, and work hours","English ivy, Himalayan blackberry",Himalayan blackberry,37.5,Volunteer event 1-5pm with Tiffany Joseph. Approximately 30 volunteers. 
140,2023,23-May,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",50,25.0,1,0.5,"estimate 1/2 of biomass, area, and work hours","Scotch broom, Daphne",Scotch broom,37.5,
141,2023,23-May,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",50,25.0,1,0.5,"estimate 1/2 of biomass, area, and work hours","Scotch broom, Daphne",Daphne,37.5,
142,2023,24-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,100,20.0,2,0.4,"estimate 1/5 of biomass, area, and work hours","English Ivy, Scotch broom, Himalayan blackberry, invasive garlic, invasive sedge",English Ivy,37.5,One large invasive sedge plant left at base of rocks off of Grant Street - should let Matson Maddocks know. 
143,2023,24-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,100,20.0,2,0.4,"estimate 1/5 of biomass, area, and work hours","English Ivy, Scotch broom, Himalayan blackberry, invasive garlic, invasive sedge",Scotch broom,37.5,One large invasive sedge plant left at base of rocks off of Grant Street - should let Matson Maddocks know. 
144,2023,24-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,100,20.0,2,0.4,"estimate 1/5 of biomass, area, and work hours","English Ivy, Scotch broom, Himalayan blackberry, invasive garlic, invasive sedge",Himalayan blackberry,37.5,One large invasive sedge plant left at base of rocks off of Grant Street - should let Matson Maddocks know. 
145,2023,24-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,100,20.0,2,0.4,"estimate 1/5 of biomass, area, and work hours","English Ivy, Scotch broom, Himalayan blackberry, invasive garlic, invasive sedge",Garlic,37.5,One large invasive sedge plant left at base of rocks off of Grant Street - should let Matson Maddocks know. 
146,2023,24-May,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,100,20.0,2,0.4,"estimate 1/5 of biomass, area, and work hours","English Ivy, Scotch broom, Himalayan blackberry, invasive garlic, invasive sedge",Sedge,37.5,One large invasive sedge plant left at base of rocks off of Grant Street - should let Matson Maddocks know. 
147,2023,26-May,Havenwood Park,https://maps.app.goo.gl/9sGJisW8esQFWvoY8,200,100.0,15,7.5,"estimate 1/2 of biomass, area, and work hours","Scotch broom, Himalayan blackberry",Scotch broom,37.5,
148,2023,26-May,Havenwood Park,https://maps.app.goo.gl/9sGJisW8esQFWvoY8,200,100.0,15,7.5,"estimate 1/2 of biomass, area, and work hours","Scotch broom, Himalayan blackberry",Himalayan blackberry,37.5,
149,2023,30-May,Yates,-,22000,11000.0,2,1.0,"estimate 1/2 of biomass, area, and work hours","Scotch broom, Daphne",Scotch broom,30,Broom sweep over most of property; targeted blooming broom plants. 
150,2023,30-May,Yates,-,22000,11000.0,2,1.0,"estimate 1/2 of biomass, area, and work hours","Scotch broom, Daphne",Daphne,30,Broom sweep over most of property; targeted blooming broom plants. 
151,2023,31-May,Yates,-,22000,11000.0,1.75,0.9,"estimate 1/2 of biomass, area, and work hours","Scotch broom, Daphne",Scotch broom,34,Broom sweep over remainder of property; targeted blooming broom plants. 
152,2023,31-May,Yates,-,22000,11000.0,1.75,0.9,"estimate 1/2 of biomass, area, and work hours","Scotch broom, Daphne",Daphne,34,Broom sweep over remainder of property; targeted blooming broom plants. 
153,2023,07-Jun,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",100,50.0,2,1.0,"estimate 1/2 of biomass, area, and work hours","Shiny geranium, Daphne",Shiny geranium,37.5,VNFC + Christina Joining the crew at OHP
154,2023,07-Jun,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",100,50.0,2,1.0,"estimate 1/2 of biomass, area, and work hours","Shiny geranium, Daphne",Daphne,37.5,VNFC + Christina Joining the crew at OHP
155,2024,10-Jun,Bear Hill,-,305,305.0,18,18.0,??,Several native & invasive species ,Misc Species,34,Trail maintenance to clear a fire right of way on a HAT site 
156,2023,19-Jun,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,75,37.5,2.5,1.3,"estimate 1/2 of biomass, area, and work hours","English ivy, Himalayan blackberry",English Ivy,37.5,ĆENŦEḴI New Moon event at Matson - w/ UVic Class
157,2023,19-Jun,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,75,37.5,2.5,1.3,"estimate 1/2 of biomass, area, and work hours","English ivy, Himalayan blackberry",Himalayan blackberry,37.5,ĆENŦEḴI New Moon event at Matson - w/ UVic Class
158,2024,16-Jul,Bear Hill,-,424,424.0,15,15.0,??,Several native & invasive species ,Misc Species,34,"Trail maintenance to clear a fire right of way on a HAT site; and removed lrg flowering scotch broom near look out, and piled in 2 lrg piles. "
159,2023,17-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,136.61,45.5,1.3,0.4,"estimate 1/3 of biomass, area, and work hours","Himalayan Blackberry, English Ivy, Broom",Himalayan blackberry,37.5,
160,2023,17-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,136.61,45.5,1.3,0.4,"estimate 1/3 of biomass, area, and work hours","Himalayan Blackberry, English Ivy, Broom",English Ivy,37.5,
161,2023,17-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,136.61,45.5,1.3,0.4,"estimate 1/3 of biomass, area, and work hours","Himalayan Blackberry, English Ivy, Broom",Scotch broom,37.5,
162,2023,19-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,150,37.5,1.9,0.5,"estimate 1/4 of biomass, area, and work hours","Himalayan Blackberry, English Ivy, Cleaver, Sedges ",Himalayan blackberry,27.5,Aislyn in Office. May not have removed all non-native sedges because we were having a hard time identifying without seed heads (previously removed). Will need to check again for non-native sedges in 'Polygon 2 sedges' next year. Lauren crew lead 
163,2023,19-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,150,37.5,1.9,0.5,"estimate 1/4 of biomass, area, and work hours","Himalayan Blackberry, English Ivy, Cleaver, Sedges ",English Ivy,27.5,Aislyn in Office. May not have removed all non-native sedges because we were having a hard time identifying without seed heads (previously removed). Will need to check again for non-native sedges in 'Polygon 2 sedges' next year. Lauren crew lead 
164,2023,19-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,150,37.5,1.9,0.5,"estimate 1/4 of biomass, area, and work hours","Himalayan Blackberry, English Ivy, Cleaver, Sedges ",Cleavers,27.5,Aislyn in Office. May not have removed all non-native sedges because we were having a hard time identifying without seed heads (previously removed). Will need to check again for non-native sedges in 'Polygon 2 sedges' next year. Lauren crew lead 
165,2023,19-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,150,37.5,1.9,0.5,"estimate 1/4 of biomass, area, and work hours","Himalayan Blackberry, English Ivy, Cleaver, Sedges ",Sedge,27.5,Aislyn in Office. May not have removed all non-native sedges because we were having a hard time identifying without seed heads (previously removed). Will need to check again for non-native sedges in 'Polygon 2 sedges' next year. Lauren crew lead 
166,2023,20-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,50,25.0,0.8,0.4,"estimate 1/2 of biomass, area, and work hours","English ivy, Himalayan blackberry",English Ivy,17,Whitney-Griffiths Monitoring 
167,2023,20-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,50,25.0,0.8,0.4,"estimate 1/2 of biomass, area, and work hours","English ivy, Himalayan blackberry",Himalayan blackberry,17,Whitney-Griffiths Monitoring 
168,2023,21-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,50,25.0,0.5,0.3,"estimate 1/2 of biomass, area, and work hours","English Ivy, Daphne",English Ivy,15,Lauren Off - Nina in Office
169,2023,21-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,50,25.0,0.5,0.3,"estimate 1/2 of biomass, area, and work hours","English Ivy, Daphne",Daphne,15,Lauren Off - Nina in Office
170,2024,24-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,443,110.8,1.2,0.3,"estimate 1/4 of biomass, area, and work hours","Hanging sedge, h.blackberry,ivy,thistle",Sedge,30.5,"Removed h.sedge from dense patch, then did sweeps for regrowth in meadows (and worked on monitoring plan)"
171,2024,24-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,443,110.8,1.2,0.3,"estimate 1/4 of biomass, area, and work hours","Hanging sedge, h.blackberry,ivy,thistle",Himalayan blackberry,30.5,"Removed h.sedge from dense patch, then did sweeps for regrowth in meadows (and worked on monitoring plan)"
172,2024,24-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,443,110.8,1.2,0.3,"estimate 1/4 of biomass, area, and work hours","Hanging sedge, h.blackberry,ivy,thistle",English Ivy,30.5,"Removed h.sedge from dense patch, then did sweeps for regrowth in meadows (and worked on monitoring plan)"
173,2024,24-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,443,110.8,1.2,0.3,"estimate 1/4 of biomass, area, and work hours","Hanging sedge, h.blackberry,ivy,thistle",Thistle,30.5,"Removed h.sedge from dense patch, then did sweeps for regrowth in meadows (and worked on monitoring plan)"
174,2023,25-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,45,15.0,0.8,0.3,"estimate 1/3 of biomass, area, and work hours","English ivy, Himalayan blackberry, English Hawthorn ",English Ivy,15,Calypso Woods Monitoring
175,2023,25-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,45,15.0,0.8,0.3,"estimate 1/3 of biomass, area, and work hours","English ivy, Himalayan blackberry, English Hawthorn ",Himalayan blackberry,15,Calypso Woods Monitoring
176,2023,25-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,45,15.0,0.8,0.3,"estimate 1/3 of biomass, area, and work hours","English ivy, Himalayan blackberry, English Hawthorn ",English hawthorn,15,Calypso Woods Monitoring
177,2024,25-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,1702,567.3,0.8,0.3,"estimate 1/3 of biomass, area, and work hours","H blackberry, S broom, E ivy",Himalayan blackberry,30,"Monitoring, sweeping meadow for regrowth, ivy "
178,2024,25-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,1702,567.3,0.8,0.3,"estimate 1/3 of biomass, area, and work hours","H blackberry, S broom, E ivy",Scotch broom,30,"Monitoring, sweeping meadow for regrowth, ivy "
179,2024,25-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,1702,567.3,0.8,0.3,"estimate 1/3 of biomass, area, and work hours","H blackberry, S broom, E ivy",English Ivy,30,"Monitoring, sweeping meadow for regrowth, ivy "
180,2023,27-Jul,Oak Haven Park,"1252 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",40,13.3,2,0.7,"estimate 1/3 of biomass, area, and work hours","Daphne, english ivy, scotch broom ",Daphne,22.5,
181,2023,27-Jul,Oak Haven Park,"1252 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",40,13.3,2,0.7,"estimate 1/3 of biomass, area, and work hours","Daphne, english ivy, scotch broom ",English Ivy,22.5,
182,2023,27-Jul,Oak Haven Park,"1252 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",40,13.3,2,0.7,"estimate 1/3 of biomass, area, and work hours","Daphne, english ivy, scotch broom ",Scotch broom,22.5,
183,2025,28-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,128,64.0,0.2,0.1,"estimate 1/2 of biomass, area, and work hours","Himalayan blackberry, scotch broom  ",Himalayan blackberry,30,"Crew conducted monitoring the pulse transects and recorded information to delivery to Nancy Shackleford. Crew also did a brief monitoring of the two deer exclosures, built in 2024 in the main meadow area. Enclosure 1 includes: tomcat clover, seablus, camas, nodding onion, pacific sanicle,  yarrow, and mystery plant (dried seeds heads observed); Enclosure 2 includes: woolly sunflower, camas, sea blush, pacific sanicle, fools onion, and maybe California oat grass or lemons needle grass (dried seed heads observed ). Crew removed Himalayan blackberry and small amount of scotch broom from deer exclosures on the west side of the covenant, they also did a couple minor repairs to the exclosure fencing.  "
184,2025,28-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,128,64.0,0.2,0.1,"estimate 1/2 of biomass, area, and work hours","Himalayan blackberry, scotch broom  ",Scotch broom,30,"Crew conducted monitoring the pulse transects and recorded information to delivery to Nancy Shackleford. Crew also did a brief monitoring of the two deer exclosures, built in 2024 in the main meadow area. Enclosure 1 includes: tomcat clover, seablus, camas, nodding onion, pacific sanicle,  yarrow, and mystery plant (dried seeds heads observed); Enclosure 2 includes: woolly sunflower, camas, sea blush, pacific sanicle, fools onion, and maybe California oat grass or lemons needle grass (dried seed heads observed ). Crew removed Himalayan blackberry and small amount of scotch broom from deer exclosures on the west side of the covenant, they also did a couple minor repairs to the exclosure fencing.  "
185,2023,22-Aug,Oak Haven Park,"1256 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",600,300.0,5,2.5,"estimate 1/2 of biomass, area, and work hours","Daphne, English Ivy",Daphne,30,
186,2023,22-Aug,Oak Haven Park,"1256 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",600,300.0,5,2.5,"estimate 1/2 of biomass, area, and work hours","Daphne, English Ivy",English Ivy,30,
187,2023,23-Aug,Oak Haven Park,"1257 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",600,300.0,5,2.5,"estimate 1/2 of biomass, area, and work hours","Daphne, English Ivy",Daphne,37.5,
188,2023,23-Aug,Oak Haven Park,"1257 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",600,300.0,5,2.5,"estimate 1/2 of biomass, area, and work hours","Daphne, English Ivy",English Ivy,37.5,
189,2024,27-Aug,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,207.4,103.7,1.5,0.8,"estimate 1/2 of biomass, area, and work hours","Hymalayan Blackberry, English Ivy  ",Himalayan blackberry,22.5,Removed Hymalayan blackberry (crown roots and biomass) and English Ivy 
190,2024,27-Aug,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,207.4,103.7,1.5,0.8,"estimate 1/2 of biomass, area, and work hours","Hymalayan Blackberry, English Ivy  ",English Ivy,22.5,Removed Hymalayan blackberry (crown roots and biomass) and English Ivy 
191,2025,02-Sep,Yates,-,1895,631.7,0.8,0.3,"estimate 1/3 of biomass, area, and work hours","Scotch broom, Daphne, tansy ragwort ",Scotch broom,37.5,Crew helped Morgan lay a pond liner in the area below th seasonal creek. Then crew did a sweep of the slope of site-B removing dense and small scotch broom and continued upslope into site-D
192,2025,02-Sep,Yates,-,1895,631.7,0.8,0.3,"estimate 1/3 of biomass, area, and work hours","Scotch broom, Daphne, tansy ragwort ",Daphne,37.5,Crew helped Morgan lay a pond liner in the area below th seasonal creek. Then crew did a sweep of the slope of site-B removing dense and small scotch broom and continued upslope into site-D
193,2025,02-Sep,Yates,-,1895,631.7,0.8,0.3,"estimate 1/3 of biomass, area, and work hours","Scotch broom, Daphne, tansy ragwort ",Tansy ragwort,37.5,Crew helped Morgan lay a pond liner in the area below th seasonal creek. Then crew did a sweep of the slope of site-B removing dense and small scotch broom and continued upslope into site-D
194,2025,05-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,473,157.7,0.3,0.1,"estimate 1/3 of biomass, area, and work hours","Himalayan blackberry, English ivy, periwinkle. ",Himalayan blackberry,30,"Crew spent morning sharpening & cleaning tools, harvesting and drying tea for gift giving (45mins), and picking up power tools for Tlches from office. Then spent the afternoon at Matson doing a sweep of the northwestern area of the covenant removing Himalayan blackberry, English ivy, and periwinkle. "
195,2025,05-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,473,157.7,0.3,0.1,"estimate 1/3 of biomass, area, and work hours","Himalayan blackberry, English ivy, periwinkle. ",English Ivy,30,"Crew spent morning sharpening & cleaning tools, harvesting and drying tea for gift giving (45mins), and picking up power tools for Tlches from office. Then spent the afternoon at Matson doing a sweep of the northwestern area of the covenant removing Himalayan blackberry, English ivy, and periwinkle. "
196,2025,05-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,473,157.7,0.3,0.1,"estimate 1/3 of biomass, area, and work hours","Himalayan blackberry, English ivy, periwinkle. ",Periwinkle,30,"Crew spent morning sharpening & cleaning tools, harvesting and drying tea for gift giving (45mins), and picking up power tools for Tlches from office. Then spent the afternoon at Matson doing a sweep of the northwestern area of the covenant removing Himalayan blackberry, English ivy, and periwinkle. "
197,2022,07-Sep,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",1080,540.0,3,1.5,"estimate 1/2 of biomass, area, and work hours","Daphne, Scotch Broom",Daphne,22.5,
198,2022,07-Sep,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",1080,540.0,3,1.5,"estimate 1/2 of biomass, area, and work hours","Daphne, Scotch Broom",Scotch broom,22.5,
199,2022,08-Sep,Oak Haven Park,"1252 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",1175,587.5,3,1.5,"estimate 1/2 of biomass, area, and work hours","Daphne, Scotch Broom",Daphne,30,
200,2022,08-Sep,Oak Haven Park,"1252 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",1175,587.5,3,1.5,"estimate 1/2 of biomass, area, and work hours","Daphne, Scotch Broom",Scotch broom,30,
201,2024,09-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,66.5,33.3,2.5,1.3,"estimate 1/2 of biomass, area, and work hours","English Ivy, Hymalayan Blackberry ",English Ivy,30,Removed Hymalayan blackberry (crown roots and biomass) and English Ivy 
202,2024,09-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,66.5,33.3,2.5,1.3,"estimate 1/2 of biomass, area, and work hours","English Ivy, Hymalayan Blackberry ",Himalayan blackberry,30,Removed Hymalayan blackberry (crown roots and biomass) and English Ivy 
203,2022,12-Sep,Oak Haven Park,"1254 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",1200,600.0,3,1.5,"estimate 1/2 of biomass, area, and work hours","Daphne, Holly",Daphne,22.5,
204,2022,12-Sep,Oak Haven Park,"1254 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",1200,600.0,3,1.5,"estimate 1/2 of biomass, area, and work hours","Daphne, Holly",Holly,22.5,
205,2025,12-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,90.79,45.4,2,1.0,"estimate 1/2 of biomass, area, and work hours","English Ivy, purple toadflax",English Ivy,21.5,"Crew monitored growth and health of Garry oak saplings planted in 2024. They then removed English Ivy and purple toadflax from steep rocky slope, that the Mattocks are no longer able to work in, located in north east area of the covenant (outflow area). "
206,2025,12-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,90.79,45.4,2,1.0,"estimate 1/2 of biomass, area, and work hours","English Ivy, purple toadflax",Purple toadflax,21.5,"Crew monitored growth and health of Garry oak saplings planted in 2024. They then removed English Ivy and purple toadflax from steep rocky slope, that the Mattocks are no longer able to work in, located in north east area of the covenant (outflow area). "
207,2022,13-Sep,Oak Haven Park,"1255 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",1000,500.0,3,1.5,"estimate 1/2 of biomass, area, and work hours","Daphne, Scotch Broom",Daphne,22.5,
208,2022,13-Sep,Oak Haven Park,"1255 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",1000,500.0,3,1.5,"estimate 1/2 of biomass, area, and work hours","Daphne, Scotch Broom",Scotch broom,22.5,
209,2022,14-Sep,Oak Haven Park,"1256 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",1200,600.0,4,2.0,"estimate 1/2 of biomass, area, and work hours","Daphne, Scotch Broom",Daphne,22.5,
210,2022,14-Sep,Oak Haven Park,"1256 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",1200,600.0,4,2.0,"estimate 1/2 of biomass, area, and work hours","Daphne, Scotch Broom",Scotch broom,22.5,
211,2022,16-Sep,Oak Haven Park,"1258 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",900,450.0,3,1.5,"estimate 1/2 of biomass, area, and work hours","Daphne, Scotch Broom",Daphne,22.5,
212,2022,16-Sep,Oak Haven Park,"1258 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",900,450.0,3,1.5,"estimate 1/2 of biomass, area, and work hours","Daphne, Scotch Broom",Scotch broom,22.5,
213,2022,19-Sep,Oak Haven Park,"1259 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",800,400.0,3,1.5,"estimate 1/2 of biomass, area, and work hours","Daphne, Scotch Broom",Daphne,22.5,
214,2022,19-Sep,Oak Haven Park,"1259 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",800,400.0,3,1.5,"estimate 1/2 of biomass, area, and work hours","Daphne, Scotch Broom",Scotch broom,22.5,
215,2022,20-Sep,Oak Haven Park,"1260 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",800,266.7,3,1.0,"estimate 1/3 of biomass, area, and work hours","Daphne, Scotch Broom, Blackberry",Daphne,30,
216,2022,20-Sep,Oak Haven Park,"1260 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",800,266.7,3,1.0,"estimate 1/3 of biomass, area, and work hours","Daphne, Scotch Broom, Blackberry",Scotch broom,30,
217,2022,20-Sep,Oak Haven Park,"1260 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",800,266.7,3,1.0,"estimate 1/3 of biomass, area, and work hours","Daphne, Scotch Broom, Blackberry",Himalayan blackberry,30,
219,2023,20-Sep,Yates,-,984.01,492.0,1,0.5,"estimate 1/2 of biomass, area, and work hours",Scotch broom and Holly ,Scotch broom,37.5,
220,2023,20-Sep,Yates,-,984.01,492.0,1,0.5,"estimate 1/2 of biomass, area, and work hours",Scotch broom and Holly ,Holly,37.5,
221,2022,21-Sep,Oak Haven Park,"1261 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",800,266.7,3,1.0,"estimate 1/3 of biomass, area, and work hours","Daphne, Scotch Broom, Blackberry",Daphne,22.5,
222,2022,21-Sep,Oak Haven Park,"1261 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",800,266.7,3,1.0,"estimate 1/3 of biomass, area, and work hours","Daphne, Scotch Broom, Blackberry",Scotch broom,22.5,
223,2022,21-Sep,Oak Haven Park,"1261 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",800,266.7,3,1.0,"estimate 1/3 of biomass, area, and work hours","Daphne, Scotch Broom, Blackberry",Himalayan blackberry,22.5,
224,2023,21-Sep,Yates,-,138,69.0,1,0.5,"estimate 1/2 of biomass, area, and work hours",Scotch broom and Daphne ,Scotch broom,30,polygon not complete - half done. Invasive Praying mantis found on site. 
225,2023,21-Sep,Yates,-,138,69.0,1,0.5,"estimate 1/2 of biomass, area, and work hours",Scotch broom and Daphne ,Daphne,30,polygon not complete - half done. Invasive Praying mantis found on site. 
226,2022,28-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs16,15,7.5,1,0.5,"estimate 1/2 of biomass, area, and work hours","Invasive Grasses, Ivy",Invasive Grasses,15,
227,2022,28-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs16,15,7.5,1,0.5,"estimate 1/2 of biomass, area, and work hours","Invasive Grasses, Ivy",English Ivy,15,
228,2022,29-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs17,20,10.0,1,0.5,"estimate 1/2 of biomass, area, and work hours","Invasive Grasses, Ivy",Invasive Grasses,22.5,
